language,category,editorial_rank,target_author,target_work
IT,CONTEMPORARY,13,Erri De Luca,Il peso della farfalla
IT,CONTEMPORARY,14,Domenico Starnone,Confidenza
IT,CONTEMPORARY,15,Michela Murgia,Chirù
IT,ESSAYS_PHILOSOPHY,1,Benedetto Croce,Breviario di estetica
IT,ESSAYS_PHILOSOPHY,2,Norberto Bobbio,L'età dei diritti
IT,ESSAYS_PHILOSOPHY,3,Umberto Eco,Trattato di semiotica generale
IT,ESSAYS_PHILOSOPHY,4,Italo Calvino,Una pietra sopra
IT,ESSAYS_PHILOSOPHY,5,Pier Paolo Pasolini,Empirismo eretico
IT,ESSAYS_PHILOSOPHY,6,Primo Levi,L'altrui mestiere
IT,ESSAYS_PHILOSOPHY,7,Giordano Bruno,Spaccio de la bestia trionfante
IT,ESSAYS_PHILOSOPHY,8,Tommaso Campanella,Aforismi politici
IT,ESSAYS_PHILOSOPHY,9,Giacomo Leopardi,Pensieri
IT,ESSAYS_PHILOSOPHY,10,Norberto Bobbio,Politica e cultura
IT,HISTORY_SOCIETY,1,Carlo Levi,Le parole sono pietre
IT,HISTORY_SOCIETY,2,Emilio Lussu,Marcia su Roma e dintorni
IT,HISTORY_SOCIETY,3,Mario Rigoni Stern,Ritorno sul Don
IT,HISTORY_SOCIETY,4,Carlo Ginzburg,I benandanti
IT,HISTORY_SOCIETY,5,Ernesto De Martino,Sud e magia
IT,HISTORY_SOCIETY,6,Nuto Revelli,La strada del Davai
IT,HISTORY_SOCIETY,7,Piero Calamandrei,Diario 1939-1945
IT,HISTORY_SOCIETY,8,Benedetto Croce,Storia d'Europa nel secolo decimonono
IT,HISTORY_SOCIETY,9,Leonardo Sciascia,Porte aperte
IT,YOUTH,1,Gianni Rodari,Il libro degli errori
IT,YOUTH,2,Gianni Rodari,La torta in cielo
IT,YOUTH,3,Gianni Rodari,Tante storie per giocare
IT,YOUTH,4,Gianni Rodari,Il pianeta degli alberi di Natale
IT,YOUTH,5,Bianca Pitzorno,Clorofilla dal cielo blu
IT,YOUTH,6,Bianca Pitzorno,Extraterrestre alla pari
IT,YOUTH,7,Roberto Piumini,Mattia e il nonno
IT,YOUTH,8,Silvana Gandolfi,Aldabra
IT,YOUTH,9,Silvana Gandolfi,Pasta di drago
IT,YOUTH,10,Angela Nanetti,Le memorie di Adalberto
IT,YOUTH,11,Beatrice Masini,Bambini nel bosco
IT,YOUTH,12,Stefano Benni,Margherita Dolcevita
IT,GRAPHIC,1,Hugo Pratt,Favola di Venezia
IT,GRAPHIC,2,Hugo Pratt,Le etiopiche
IT,GRAPHIC,3,Gipi,LMVDM
IT,GRAPHIC,4,Gipi,Questa è la stanza
IT,GRAPHIC,5,Zerocalcare,Macerie prime
IT,GRAPHIC,6,Zerocalcare,Dimentica il mio nome
IT,GRAPHIC,7,Igort,5 è il numero perfetto
IT,GRAPHIC,8,Igort,Quaderni giapponesi
IT,GRAPHIC,9,Manuele Fior,L'intervista
IT,GRAPHIC,10,Manuele Fior,Celestia
IT,GRAPHIC,11,Lorenzo Mattotti,Stigmate
IT,GRAPHIC,12,Vittorio Giardino,No pasarán
