source_key,title,authors,publication_year,isbn,publisher,genres,decision,reason
/books/OL22057062M,Plutus.,Aristophanes,1968,,A. W. Sijthoff,Théâtre,REVIEW,Aristophane est grec; titre latinisé ne prouve pas que le contenu soit latin.
/books/OL12823068M,"Sortes Astrampsychi, vol. II",Astrampsychus,2001,9783598710032,K.G. SAUR VERLAG,,REVIEW,Texte grec antique dans une édition savante; langue réelle de l'édition à confirmer.
/books/OL23340761M,St. Augustine's Confessions,Augustine of Hippo,1950,9780674990296,W. Heinemann,Biographie | Fiction | Histoire | Philosophie | Religion,KEEP_CORE,Augustin est un auteur majeur de la littérature latine tardive.
/books/OL5096914M,Euphormionis Lusinini Satyricon.,"Barclay, John",1973,9789060042991,B. de Graaf,Fiction,KEEP_CORE,Œuvre néo-latine importante de John Barclay.
/books/OL5856979M,Fabula de Petro Cuniculo.,Beatrix Potter,1962,,F. Warne,Fiction | Jeunesse,KEEP_TRANSLATION,Traduction latine moderne d'un classique jeunesse de Beatrix Potter.
/books/OL7865378M,Ieremia Piscatore,Beatrix Potter,1979,9780723221043,Warne,,KEEP_TRANSLATION,Traduction latine moderne de Beatrix Potter.
/books/OL5944510M,Fabula de Jemima Anate-Aquatica,Beatrix Potter | Colin Twinn,1965,,F. Warne,Fiction,KEEP_TRANSLATION,Traduction latine explicite d'une œuvre jeunesse de Beatrix Potter.
/books/OL24668614M,The confession of Pontius Pilate,Beshara Shehadi,1917,,"Printed by Matthias Plum, inc., and pub. by the translator",Fiction,REVIEW,Titre anglais; éléments insuffisants pour confirmer une édition en langue latine.
/books/OL16894328M,Ludovici Montaltii Litterae provinciales,Blaise Pascal,1658,,apud Nicolaum Schouten,Fiction,KEEP_TRANSLATION,Traduction latine historique des Provinciales de Pascal.
/books/OL24181898M,Boethius' Consolation of philosophy,Boethius,1897,,D. Nutt,Philosophie,KEEP_CORE,Boèce et la Consolation de Philosophie appartiennent au cœur du corpus latin tardif.
/books/OL22601398M,Bibliotheca scriptorum Graecorum et Romanorum Teubneriana. First Edition: Poetae elegiaci: testimonia et fragmenta: ed. 2.: Novis Simonidis fragmentis aucta,Bruno Gentili | Carlo Prato,,9783598717024,K.G. Saur Verlag GmbH & Co. KG,Fiction,REVIEW,Édition Teubner de poésie grecque; probablement texte grec avec appareil savant.
/books/OL12798378M,"Deuxieme Livre Des Procurateurs, 1546-1567",C. M. Ridderikhoff,1997,9789004081666,Brill Academic Publishers,Biographie | Histoire,REPLACE,Publication académique moderne française; classification LA non justifiée par les métadonnées.
/books/OL3243753M,Pinoculus Latinus,Carlo Collodi,1983,9783760840659,Artemis,Biographie | Fantasy | Fiction | Jeunesse,KEEP_TRANSLATION,Traduction latine explicite de Pinocchio; latin moderne pertinent.
/books/OL6220162M,American notes and Pictures from Italy.,Charles Dickens,1957,,Oxford University Press,Voyage,REPLACE,Œuvre et édition anglaises; classification LA non justifiée.
/books/OL5944052M,Psychopathia sexualis,Charles Gilbert Chaddock | Francis Joseph Rebman | Krafft/ | Richard von Krafft-Ebing,1965,,Putnam,Histoire,REVIEW,Titre latin mais langue effective de cette édition de Psychopathia sexualis à confirmer.
/books/OL8311025M,Cicero,Cicero,1991,9780862921842,Duckworth Publishing,Histoire | Philosophie | Politique,KEEP_CORE,Cicéron appartient au cœur du corpus latin classique.
/books/OL619549M,The letters of January to April 43 BC,Cicero,1995,9780856686313,Aris & Phillips,Histoire | Politique,KEEP_CORE,Correspondance de Cicéron; corpus latin classique fondamental.
/books/OL12823125M,Carmina,Claudius Claudianus,1998,9783598712401,K.G. SAUR VERLAG,,KEEP_CORE,Claudien est un auteur latin tardif important.
/books/OL4410628M,Physiologus,"Curley, Michael J.",1979,9780292764569,University of Texas Press,,REVIEW,Édition/traduction moderne du Physiologus; langue réelle à confirmer.
/books/OL7739528M,Dante,Dante Alighieri | Steven Botterill,1996,9780521400640,Cambridge University Press,Poésie,REVIEW,Dante n'est pas automatiquement un titre latin; contenu exact de l'édition à vérifier.
/books/OL21933479M,Die Tannhäuser-Legende,Dietz-Rüdiger Moser,1976,9783110059571,de Gruyter,,REPLACE,Étude allemande moderne; sujet historique mais langue non latine.
/books/OL12823144M,"Quae Exstant, vol. V",Dionysius of Halicarnassus,1998,9783598712890,K.G. SAUR VERLAG,,REVIEW,Denys d'Halicarnasse est grec; édition savante à vérifier.
/books/OL12823145M,"Quae Exstant, vol. VI",Dionysius of Halicarnassus,1998,9783598712906,K.G. SAUR VERLAG,,REVIEW,Denys d'Halicarnasse est grec; édition savante à vérifier.
/books/OL3379617M,Virent ova! Viret perna!!,Dr. Seuss,2003,9780865165557,"Bolchazy-Carducci Publishers, Inc.",Fiction,KEEP_TRANSLATION,Traduction latine explicite de Green Eggs and Ham.
/books/OL6784356M,Cattus petasatus,Dr. Seuss | Simon Mugford,2000,9780865164710,Bolchazy-Carducci,Arts | Fantasy | Fiction | Jeunesse | Poésie,KEEP_TRANSLATION,Traduction latine explicite de The Cat in the Hat.
/books/OL12823333M,Lexicographi Graeci: Vol. IX: Pollucis Onomasticon,E. Bethe,2003,9783598742408,K.G. SAUR VERLAG,,REVIEW,Corpus grec dans une édition savante; titre latinisé insuffisant.
/books/OL12856016M,Expositiones Sequentiarum,Erika Kihlman,2006,9789185445257,Stockholm Universitet,,KEEP_CORE,Texte médiéval latin liturgique/philologique pertinent.
/books/OL20455339M,Ysengrimus,Ernst Voigt | Nivardus,1884,,Buchhandlung des Waisenhauses,Fiction | Poésie,KEEP_CORE,Ysengrimus est une œuvre majeure de la littérature latine médiévale.
/books/OL20464755M,Euripidis Fabulae,Euripides,1844,,A. F. Didot,Théâtre,REVIEW,Euripide est grec; langue réelle de l'édition à confirmer.
/books/OL12664209M,Corpvs Inscriptionvm Latinarvm,Evgenivs Bormann,2000,9783110160901,Walter De Gruyter Inc,,KEEP_CORE,Corpus Inscriptionum Latinarum constitue une référence majeure des études latines.
/books/OL12799395M,Donati Graeci,Federica Ciccolella,2007,9789004163522,Brill,Histoire,REVIEW,Édition savante liée au grec; langue effective à confirmer.
/books/OL4903015M,Petrarch's Secret,Francesco Petrarca,1978,9780883555965,Hyperion Press,Fiction,REVIEW,"Pétrarque a écrit le Secretum en latin, mais cette édition au titre anglais doit être vérifiée."
/books/OL12872697M,"Geschichte der lateinischen Literatur des Mittelalters, 4 Bde., Bd.2, Die Zwischenzeit vom Ausgang des karolingischen Zeitalters bis zur Mitte des elften Jahrhunderts",Franz Brunhölzl,1992,9783770526147,Fink (Wilhelm),,REPLACE,Ouvrage allemand sur la littérature latine; sujet latin mais langue allemande.
/books/OL24831110M,De genere Byrsonima ...,Franz Niedenzu,1897,,typis Heynenis (G. Riebensahm),Fiction | Histoire,KEEP_CORE,Monographie scientifique historiquement rédigée en latin; usage savant du latin pertinent.
/books/OL17626096M,"Historiae florentinae Nicolai Machiavelli, civis et secretarii florentini",Félix Fernández Murga | Félix Gilbert | Giovanni Battista Niccolini | Niccolò Machiavelli | Peter Whithorne,1610,,Impensis Lazari Zetzneri Bibliop.,Histoire | Politique,KEEP_TRANSLATION,Traduction latine historique des Histoires florentines de Machiavel.
/books/OL18309835M,Collectio psalterii Bedae Venerabili adscripta,Gerald Browne,2001,9783598712296,K.G. Saur,,KEEP_CORE,Corpus latin médiéval attribué à Bède.
/books/OL25608670M,Diarium van Arend van Buchell,Gerard Bartel Brom,1907,,,Fiction | Histoire,REVIEW,Édition d'un journal historique; langue latine effective à confirmer.
/books/OL23269455M,"Aeneid, IV",H.E. Gould | J.L. Whiteley | Publius Vergilius Maro,1900,,Clive,Histoire | Poésie,KEEP_CORE,Virgile appartient au cœur absolu du corpus latin.
/books/OL2588851M,Beiträge zum griechischen Liebesroman,Hans Gärtner,1984,9783487074979,G. Olms,,REPLACE,Étude allemande consacrée au roman grec; classification LA incorrecte.
/books/OL20260463M,Petrulus Hirrutus: Der Struwwelpeter,Heinrich Hoffmann,1956,,Rütten & Loening,Fiction | Poésie,KEEP_TRANSLATION,Traduction latine explicite du Struwwelpeter.
/books/OL2993327M,Heliodori Aethiopicae historiae libri decem,Heliodorus of Emesa,1552,,Per Ioannem Oporinum,Fiction,KEEP_TRANSLATION,Traduction latine historique explicite de l'œuvre grecque d'Héliodore.
/books/OL12704195M,Das Recht der Tablettes Albertini. Freiburger Rechtsgeschichtliche Abhandlungen. Neue Folge; FRA Bd. 40,Hendrik Weßel,2003,9783428104017,Duncker & Humblot GmbH,Histoire,REPLACE,Ouvrage juridique moderne en allemand; classification LA incorrecte.
/books/OL12449141M,De Sigaris Pharaonis,Hergé,1995,9782203321052,Les Éditions de Minuit,BD et romans graphiques | Fiction,KEEP_TRANSLATION,"Édition latine d'une œuvre d'Hergé; traduction moderne pertinente, notamment pour le fonds BD."
/books/OL11759021M,Olivia,Ian Falconer,2007,9781416942184,Atheneum,,KEEP_TRANSLATION,Édition explicitement latine d'un ouvrage jeunesse moderne.
/books/OL12850622M,Dictata ad ius Hodiernum,Jacobus Voorda,2006,9789069844435,Edita-the Publishing House of the Royal,Histoire,KEEP_CORE,"Cours juridique en latin, cohérent avec l'usage universitaire historique du latin."
/books/OL22682633M,"De eclipsi solari anno MDCLIV die XII Augusti, in Europa, a pluribus spectata tubo optico, nunc iterum à Jacobo Balde è Societate Jesu tubo satyrico perlustrata, libri duo.",Jakob Balde,1662,,Typis Lucae Straub,Fiction | Poésie,KEEP_CORE,Texte néo-latin du XVIIe siècle de Jakob Balde.
/books/OL14836209M,Robinson Crusoëus,Joachim Heinrich Campe,1820,,Ex typographia J. Maxwell,Fiction,KEEP_TRANSLATION,Traduction latine historique de Robinson Crusoe.
/books/OL12823091M,Polistoria de Virtutibus et Dotibus Romanorum,Joannes Caballinus de Cerronibus,1998,9783598711282,K.G. SAUR VERLAG,,KEEP_CORE,Texte médiéval latin historiquement pertinent.
/books/OL25097788M,Hadrianus,Juan Gil | Sofia Torallas Tovar,2010,9788498833263,Publicacions de l'Abadia de Montserrat,Fiction,REVIEW,Édition papyrologique/savante; contenu et langue réels à confirmer.
/books/OL13114951M,Tratado Sobre las Justas Causas de La Guerra Contra los Indios,Juan Ginés de Sepúlveda,1987,9789681601973,"Fondo de Cultura Económica, S. A.",Histoire,REPLACE,Édition espagnole; classification LA non justifiée.
/books/OL6766405M,Napoleon and the Cossacks,"Krasnov, Pyotr Nikolayevich",1931,,Duffield & Green,Fiction | Histoire,REPLACE,Ouvrage anglais sans justification pour une classification latine.
/books/OL2720457M,Magus mirabilis in Oz,L. Frank Baum,1987,9780859677233,Scolar Press,Fantasy | Fiction | Histoire | Jeunes adultes | Jeunesse | Science-fiction | Théâtre,KEEP_TRANSLATION,Traduction latine explicite du Wizard of Oz.
/books/OL46503M,Which way to the vomitorium?,Lesley O'Mara | Rose Williams,1999,9780312242763,Thomas Dunne Books,,REVIEW,Ouvrage moderne consacré au latin conversationnel; probablement pas intégralement rédigé en latin.
/books/OL5919462M,Alicia in Terra Mirabili,Lewis Carroll,1964,,St Martin's Press,Fantasy | Fiction | Histoire | Jeunesse | Science-fiction,KEEP_TRANSLATION,Traduction latine d'Alice in Wonderland.
/books/OL17187841M,Aliciae per speculum transitus (Quaeque ibi invenit),Lewis Carroll,1966,,Macmillan,Fantasy | Fiction | Jeunesse | Philosophie,KEEP_TRANSLATION,Traduction latine de Through the Looking-Glass.
/books/OL20027521M,"By George, bloomers!",Ludolf Georg Dissen,1819,9780698306011,Vogel,Fiction,REPLACE,Métadonnées auteur/titre incohérentes; notice bibliographique suspecte.
/books/OL12876572M,"Constitutiones et acta publica imperatorum et regum, Bd.1, 911-1197",Ludwig Weiland,1999,9783775250634,Hahnsche Buchhandlung,Histoire,KEEP_CORE,Corpus de documents médiévaux latins.
/books/OL26094954M,L Apulei Metamorphoseon Libri Xi,Maaike Zimmerman,2012,9780199277025,Oxford University Press,Fiction,KEEP_CORE,Métamorphoses d'Apulée; œuvre majeure de la littérature latine.
/books/OL12853145M,Erik 14,Magnus Karlsson,2003,9789122020219,Almqvist & Wiksell International,Histoire,KEEP_CORE,Discours historique explicitement latin; corpus néo-latin pertinent.
/books/OL12823077M,Ad Se Ipsum Libri XII,Marcus Aurelius,1998,9783598710469,K.G. SAUR VERLAG,,REVIEW,Marc Aurèle écrit en grec; titre latinisé ne suffit pas à déterminer la langue.
/books/OL1703582M,"The captain, the countess, and Cobby the Swabby",Mary Hollingsworth,1992,9780781409674,Chariot Books,Fiction,REPLACE,Livre moderne anglais sans justification pour LA.
/books/OL5605742M,Maria Poppina ab A ad Z.,Mary Shepard | Pamela L. Travers,1968,,"Harcourt, Brace & World",Fantasy | Fiction,KEEP_TRANSLATION,Traduction latine de Mary Poppins.
/books/OL5206980M,Power play,Matt Christopher,1976,9780316140157,"Little, Brown",Fiction,REPLACE,Ouvrage jeunesse/sport en anglais; classification LA incorrecte.
/books/OL21176145M,Cupid and Psyche,Maurice Balme | Maurice George Balme,1976,9780199120475,Oxford University Press,Fiction,REVIEW,Adaptation scolaire d'Apulée; vérifier si elle contient réellement du latin.
/books/OL5816598M,Menandri Dyscolus.,Menander of Athens,1960,,E. Typographeo Clarendoniano,Théâtre,REVIEW,Ménandre est grec; édition savante au titre latinisé à vérifier.
/books/OL7833376M,A Bear Called Paddington (BCP Latin Texts),Michael Bond,1999,9780715629260,Gerald Duckworth & Co Ltd,Fiction,KEEP_TRANSLATION,Collection explicitement consacrée à une traduction latine de Paddington.
/books/OL28388468M,The prince,Niccolò Machiavelli,1947,,Appleton-Century-Crofts,Fantasy | Fiction | Histoire | Philosophie | Politique,REPLACE,Édition anglaise moderne du Prince de Machiavel; classification LA incorrecte.
/books/OL23321799M,Nithardi Historiarum libri 4.,Nithard,1907,,Impensis Bibliopolii Hahniani,Histoire,KEEP_CORE,Chronique carolingienne de Nithard rédigée en latin.
/books/OL2025461M,The white castle,Orhan Pamuk,1991,9780807612644,Braziller,Fiction | Histoire,REPLACE,Roman moderne en anglais; classification LA incorrecte.
/books/OL7022722M,Metamorphoses,Ovid,1916,,William Heinemann,Biographie | Fiction | Poésie,KEEP_CORE,Métamorphoses d'Ovide; œuvre majeure de la littérature latine.
/books/OL23350586M,"Tristia, III",Ovid,1900,,Clive,Poésie,KEEP_CORE,Tristia d'Ovide; texte latin classique fondamental.
/books/OL23301368M,"The Georgics, Books I., II.",Ovid | Publius Vergilius Maro | Salvatore Quasimodo,1900,,Murray,Poésie,REVIEW,Notice auteur incohérente pour les Géorgiques; métadonnées à vérifier.
/books/OL1045490M,Seychelles,Peter Vine,1992,9780907151838,Immel Publishing,Histoire | Voyage,REPLACE,Guide moderne de voyage; aucune justification pour LA.
/books/OL25199462M,Iter hispaniense,Philip Barker Webb,1838,,Béthune and Plon,Fiction,REVIEW,Titre latin d'un ouvrage scientifique ancien; langue réelle à confirmer.
/books/OL2383010M,Short Latin stories,Philip Dunlop,1987,9780521315920,Cambridge University Press,Fiction,KEEP_CORE,Recueil explicitement constitué de récits latins.
/books/OL12823229M,"Naturalis Historiae, vol. I",Pliny the Elder,1998,9783598716508,K.G. SAUR VERLAG,,KEEP_CORE,Naturalis Historia de Pline l'Ancien; cœur du corpus latin.
/books/OL12823230M,"Naturalis Historiae, vol. II",Pliny the Elder,1998,9783598716515,K.G. SAUR VERLAG,,KEEP_CORE,Naturalis Historia de Pline l'Ancien; cœur du corpus latin.
/books/OL12823233M,"Naturalis Historiae, vol. V",Pliny the Elder,1998,9783598716546,K.G. SAUR VERLAG,,KEEP_CORE,Naturalis Historia de Pline l'Ancien; cœur du corpus latin.
/books/OL12823234M,"Naturalis Historiae, vol. VI",Pliny the Elder,1998,9783598716553,K.G. SAUR VERLAG,,KEEP_CORE,Naturalis Historia de Pline l'Ancien; cœur du corpus latin.
/books/OL7235540M,The comedies of Terence and the fables of Phaedrus,Publius Terentius Afer,1887,,G. Bell,Théâtre,REVIEW,Térence et Phèdre sont latins mais le titre anglais suggère une traduction; édition à vérifier.
/books/OL15482125M,P. Vergili Maronis Opera omnia,Publius Vergilius Maro,1912,,"Apud Macmillan et socios et P.H. Lee Warner, Mediceae Societatis librarium",,KEEP_CORE,Œuvres de Virgile; cœur absolu du fonds latin.
/books/OL16524918M,The Georgics and Eclogues of Virgil,Publius Vergilius Maro,1915,,Harvard University Press,Poésie,REVIEW,"Œuvres de Virgile mais édition au titre anglais; déterminer si texte latin, bilingue ou traduction."
/books/OL32136240M,Quellen zur karolingischen Reichsgeschichte,Reinhold Rau,2002,9783534069651,Wissenschaftliche Buchgesellschaft,Histoire,REPLACE,Recueil historique en allemand; sujet latin mais langue allemande.
/books/OL6710374M,Traffics and discoveries,Rudyard Kipling,1920,,"Doubleday, Page, & company",Fiction,REPLACE,Œuvre anglaise de Kipling; classification LA incorrecte.
/books/OL5437082M,Apocolocyntosis divi Claudii,Seneca the Younger,1973,9780872910614,Coronado Press,Histoire | Philosophie,KEEP_CORE,Apocolocyntosis de Sénèque; texte latin classique.
/books/OL13868653M,L. Annaei Senecae Oedipus,Seneca the Younger,1941,,M. de Waal,Théâtre,KEEP_CORE,Oedipus de Sénèque; tragédie latine.
/books/OL3055507M,Thyestes,Seneca the Younger,1982,9780904790191,Mid Northumberland Arts Group,Théâtre,KEEP_CORE,Thyestes de Sénèque; texte latin classique.
/books/OL23349269M,Tragoediae,Seneca the Younger,1921,,In aedibus B.G. Teubneri,Philosophie | Théâtre,KEEP_CORE,Corpus tragique latin de Sénèque.
/books/OL25042782M,"The story of Apollonius, king of Tyre",Stelios Panayotakis,2011,9783110214123,De Gruyter,,REVIEW,Historia Apollonii est latine mais cette édition au titre anglais peut être une traduction.
/books/OL12823252M,De Rhodanthes et Dosiclis Amoribus Libri IX,Theodore Prodromus,1998,9783598717031,K.G. SAUR VERLAG,,REVIEW,Théodore Prodrome est grec; titre latin d'une édition savante ne prouve pas la langue latine.
/books/OL21219883M,Sartor resartus,Thomas Carlyle,1888,,W. Scott,Fiction | Philosophie | Voyage,REPLACE,Œuvre anglaise de Carlyle; classification LA incorrecte.
/books/OL7105458M,The Utopia of Sir Thomas More,Thomas More,1895,,Clarendon Press,Fiction | Histoire | Politique,KEEP_CORE,Utopia a été écrite en latin; édition contenant le texte latin historique.
/books/OL13562345M,A selection of Latin stories,Thomas Wright,1842,,[Richards],,KEEP_CORE,Recueil explicitement constitué de textes latins.
/books/OL23282438M,"Books V, VI, and VII",Titus Livius,1889,,Clarendon Press,Biographie | Fiction | Histoire | Politique,KEEP_CORE,Tite-Live est un auteur latin majeur.
/books/OL13183274M,Petition & Response,Tor Hauken,1998,9788291626086,Astra Books,Histoire,REVIEW,Métadonnées insuffisantes pour confirmer la langue latine.
/books/OL21043283M,Quatrevingt-treize,Victor Hugo,1888,,"Wm. R. Jenkins, Éd. & Libraire Français",Fiction | Histoire,REPLACE,Œuvre française de Victor Hugo; classification LA incorrecte.
/books/OL12823134M,Nonius Marcellus: De compendiosa doctrina libri XX,Wallace Lindsay,2004,9783598712623,K.G. SAUR VERLAG,,KEEP_CORE,Nonius Marcellus est un auteur latin antique; édition savante pertinente.
/books/OL23364974M,Lyra heroica,William Ernest Henley,1891,,Scribner,Fiction,REPLACE,Anthologie anglaise malgré un titre latinisé; classification LA incorrecte.
/books/OL5233151M,Sermo Lupi ad Anglos.,Wulfstan Archbishop of York,1963,,Methuen,,REVIEW,Sermo Lupi ad Anglos est en vieil anglais malgré son titre latin; classification LA à reconsidérer.
/books/OL21738171M,Xenophontis Institutio Cyri.,Xenophon,1968,,In aedibus B.G. Teubneri,Fiction,REVIEW,Xénophon est grec; titre latinisé d'une édition savante.
/books/OL17936042M,Bāṃlā kathāsāhityera itihāsa.,Āśutosha Bhaṭṭācārya,1964,,Penguin Books,,REPLACE,Ouvrage bengali sans rapport linguistique avec le latin.
/books/OL6329405M,Herodoti Historiae.,Ἡρόδοτος,1869,,apud Weidmannos,Fiction | Histoire | Poésie | Sciences | Économie et entreprise,REVIEW,Hérodote est grec; titre latinisé d'une édition classique.
